 written on 16Sep2026 at 19:46:15 
          16
          19
    2    1    2    1    1    1    1    2    1    1    1    2    1    1    1
    1    2    1    2
   -2   -2    0    1    1   -0.288128    0.000000
   -2   -2    0    2    1   -0.042819    0.010474
   -2   -2    0    3    1   -0.257915   -0.000850
   -2   -2    0    4    1    0.142021   -0.002667
   -2   -2    0    5    1   -0.170403    0.003096
   -2   -2    0    6    1    0.010976   -0.010850
   -2   -2    0    7    1   -0.037387   -0.000705
   -2   -2    0    8    1    0.113561   -0.002263
   -2   -2    0    9    1    0.031733   -0.000332
   -2   -2    0   10    1   -0.003049    0.000868
   -2   -2    0   11    1   -0.147660    0.000318
   -2   -2    0   12    1   -0.035824   -0.002060
   -2   -2    0   13    1   -0.004059    0.000149
   -2   -2    0   14    1    0.026700   -0.000612
   -2   -2    0   15    1   -0.093055    0.000275
   -2   -2    0   16    1    0.004953    0.000991
   -2   -2    0    1    2   -0.042819   -0.010474
   -2   -2    0    2    2   -0.194874    0.000000
   -2   -2    0    3    2   -0.047455    0.000045
   -2   -2    0    4    2    0.007586   -0.002502
   -2   -2    0    5    2   -0.060193    0.010891
   -2   -2    0    6    2    0.151513   -0.000056
   -2   -2    0    7    2   -0.050645    0.000314
   -2   -2    0    8    2    0.055140   -0.002026
   -2   -2    0    9    2   -0.021192   -0.000116
   -2   -2    0   10    2   -0.002136    0.000057
   -2   -2    0   11    2    0.022601    0.000134
   -2   -2    0   12    2   -0.088318   -0.004358
   -2   -2    0   13    2   -0.014655    0.000119
   -2   -2    0   14    2    0.012752   -0.000023
   -2   -2    0   15    2    0.000224    0.000107
   -2   -2    0   16    2    0.013306    0.002139
   -2   -2    0    1    3   -0.257915    0.000850
   -2   -2    0    2    3   -0.047455   -0.000045
   -2   -2    0    3    3    0.302952   -0.000000
   -2   -2    0    4    3   -0.226245    0.000981
   -2   -2    0    5    3    0.108324    0.000514
   -2   -2    0    6    3    0.054322    0.000142
   -2   -2    0    7    3    0.085673   -0.000139
   -2   -2    0    8    3   -0.220696    0.001356
